name,LION
PI(23:3/0:0),LION:0022613
PI(23:4/0:0),LION:0022614
PI(23:5/0:0),LION:0022615
PI(25:0/0:0),LION:0022616
PI(25:1/0:0),LION:0022617
PI(25:2/0:0),LION:0022618
PI(25:3/0:0),LION:0022619
PI(25:4/0:0),LION:0022620
PI(25:5/0:0),LION:0022621
PI(25:6/0:0),LION:0022622
PI(25:7/0:0),LION:0022623
PS(13:0/0:0),LION:0022624
PS(15:0/0:0),LION:0022625
PS(15:1/0:0),LION:0022626
PS(17:0/0:0),LION:0022627
PS(17:1/0:0),LION:0022628
PS(17:2/0:0),LION:0022629
PS(19:0/0:0),LION:0022630
PS(19:1/0:0),LION:0022631
PS(19:2/0:0),LION:0022632
PS(19:3/0:0),LION:0022633
PS(21:0/0:0),LION:0022634
PS(21:1/0:0),LION:0022635
PS(21:2/0:0),LION:0022636
PS(21:3/0:0),LION:0022637
PS(21:4/0:0),LION:0022638
PS(23:0/0:0),LION:0022639
PS(23:1/0:0),LION:0022640
PS(23:2/0:0),LION:0022641
PS(23:3/0:0),LION:0022642
PS(23:4/0:0),LION:0022643
PS(23:5/0:0),LION:0022644
PS(25:0/0:0),LION:0022645
PS(25:1/0:0),LION:0022646
PS(25:2/0:0),LION:0022647
PS(25:3/0:0),LION:0022648
PS(25:4/0:0),LION:0022649
PS(25:5/0:0),LION:0022650
PS(25:6/0:0),LION:0022651
PS(25:7/0:0),LION:0022652
PA(24:0),LION:0026409
PA(25:0),LION:0026410
PA(26:0),LION:0026411
PA(26:1),LION:0026412
PA(27:0),LION:0026413
PA(27:1),LION:0026414
PA(29:0),LION:0026415
PA(29:1),LION:0026427
PA(29:2),LION:0026428
PA(30:3),LION:0026433
PA(31:0),LION:0026443
PA(31:1),LION:0026447
PA(31:2),LION:0026448
PA(31:3),LION:0026450
PA(33:0),LION:0026453
PA(33:1),LION:0026454
PA(33:2),LION:0026455
PA(33:3),LION:0026457
PA(33:4),LION:0026458
PA(35:0),LION:0026462
PA(35:1),LION:0026463
PA(35:2),LION:0026468
PA(35:3),LION:0026473
PA(35:4),LION:0026477
PA(35:5),LION:0026478
PA(37:0),LION:0026481
PA(37:1),LION:0026484
PA(37:2),LION:0026493
PA(37:3),LION:0026495
PA(37:4),LION:0026496
PA(37:5),LION:0026498
PA(37:6),LION:0026499
PA(37:7),LION:0026501
PA(33:5),LION:0026508
PA(35:6),LION:0026511
PA(39:0),LION:0026520
PA(39:1),LION:0026521
PA(39:2),LION:0026525
PA(39:3),LION:0026532
PA(39:4),LION:0026534
PA(39:5),LION:0026535
PA(39:6),LION:0026540
PA(39:7),LION:0026541
PA(39:8),LION:0026548
PA(41:0),LION:0026549
PA(41:1),LION:0026550
PA(41:2),LION:0026553
PA(41:3),LION:0026554
PA(41:4),LION:0026561
PA(41:5),LION:0026563
PA(41:6),LION:0026569
PA(41:7),LION:0026571
PA(41:8),LION:0026572
PA(43:0),LION:0026573
PA(43:1),LION:0026574
